,CR,EV,PE,LA,CA,R^2
284,-0.715,0.134,0.342,0.0,0.027,0.7370256825523016
285,-0.069,0.0,0.0,0.342,0.0,0.26028484111859773
286,0.0,0.122,0.099,0.493,0.113,0.8292253400149918
287,0.191,0.09,0.688,0.439,0.0,0.790468051563951
288,0.15,0.0,0.265,0.0,0.193,0.8218889092142658
289,0.14300000000000002,0.037,0.063,0.59,0.0,0.8314765830981166
290,0.0,0.0,0.0,0.519,0.0,0.2719506491142487
291,-0.149,0.265,0.17700000000000002,0.0,0.083,0.8016081645439196
292,0.057,0.0,-0.020999999999999998,0.767,0.0,0.7260840269794332
293,0.191,-0.111,0.083,0.401,0.0,0.6728769598978723
294,-0.104,0.0,0.039,0.958,-0.097,0.7010795385962141
295,0.0,0.0,0.267,0.0,0.061,0.6973391666738084
296,0.0,0.09,0.279,0.435,0.0,0.7583489748935736
297,0.0,0.238,0.159,0.0,-0.042,0.6416005513271303
298,-0.13,0.036,0.052,0.515,0.094,0.7998988218487764
299,0.0,-0.021,0.034,0.9,0.0,0.7301422899343168
300,0.0,0.0,0.011,0.0,9.811,0.565522747667268
301,0.0,0.235,0.0,0.772,0.0,0.5979303874728437
302,0.022000000000000006,0.0,0.0,0.525,0.0,0.4176352391609358
303,0.107,0.0,0.0,0.742,0.0,0.49516021422478873
304,0.146,0.0,0.025,0.459,0.183,0.8191171015838796
305,0.0,0.0,0.15100000000000002,0.448,0.0,0.4066578936375169
306,0.0,0.032,0.0,0.0,0.634,0.3109287889524899
307,0.243,0.0,0.35,0.0,0.03,0.5852607574578783
308,1.0859999999999999,0.0,0.033,0.492,0.0,0.7239796284842364
309,-0.055,0.0,0.0,0.321,0.0,0.39183908672181966
310,0.0,0.0,0.0,0.0,-0.218,0.15534610025859996
311,0.0,0.0,0.0,0.477,0.0,0.1353757013129886
312,0.02,-0.011000000000000003,0.053,-0.155,0.759,0.7484837215017943
313,0.0,0.0,0.214,0.3,0.0,0.37858833954287774
314,0.0,0.0,0.0,0.904,0.0,0.5762318730891359
315,0.0,0.028,0.0,0.0,9.766,0.7641775546797943
316,0.0,0.0,0.0,0.838,0.0,0.4884789739061405
317,2.421,0.0,0.095,0.746,0.0,0.7347975368304498
318,0.0,-0.122,0.0,0.0,0.106,0.7473722447319151
319,0.183,0.087,0.0,0.0,0.132,0.5806395380858177
320,0.0,0.064,-0.0050000000000000044,0.864,0.0,0.7861519553609979
321,0.0,0.089,0.0,0.877,0.0,0.6252205432834237
322,0.056,0.11599999999999999,0.0,0.0,0.586,0.7515595991321502
323,0.013999999999999999,0.0,-0.003,0.821,48.134,0.7852764075083436
324,-0.077,0.086,0.05299999999999999,0.952,0.0,0.8091559672429582
325,0.0,0.0,0.0,0.902,0.0,0.659606478617061
326,0.111,0.0,0.051000000000000004,0.0,1.751,0.5611733987222438
327,0.158,0.156,0.08,0.457,0.0,0.5304539762207303
328,-0.156,0.041,0.11699999999999999,0.729,-0.513,0.6222104073343443
329,0.0,0.118,0.155,0.725,0.039,0.7810753274523943
330,0.122,0.0,0.256,0.452,0.162,0.8376179101523324
331,0.025,0.016,0.0,0.0,3.572,0.8432369195484056
332,0.094,0.0,0.164,0.0,0.045,0.6995016264279581
333,-0.615,0.0,0.38,0.0,0.0,0.7421337525715155
334,-0.05,0.081,0.119,0.0,0.433,0.8777762708501846
335,0.266,0.001999999999999988,0.116,0.0,0.078,0.6730850962754888
336,0.414,-0.237,0.121,0.272,-0.008,0.5651712803168649
337,0.0,-0.105,0.121,0.51,-0.196,0.20832875252781036
338,0.087,-0.108,-0.018,0.382,0.224,0.9160684416062197
339,0.0,-0.184,0.172,0.0,0.187,0.6117510603915646
340,-0.419,0.149,0.083,0.0,0.43,0.6545767639143837
341,0.0,0.0,0.05,0.0,0.09,0.9002036611162025
342,0.068,0.009,0.022,0.61,0.0,0.6819911458571184
343,0.165,0.095,0.086,0.0,0.511,0.8387196750020165
344,0.3,0.651,0.0,0.34,0.009,0.6477336257970912
345,0.098,0.04,0.057,0.0,0.707,0.7193061203385147
346,0.18,-0.066,0.082,0.0,0.603,0.8107180481487009
347,0.0,0.0,0.1,0.0,0.273,0.6950389236639688
348,0.0,0.0,0.05199999999999999,0.716,0.0,0.7273037708623509
349,0.027,-0.073,0.048,0.31,-0.903,0.8028247724913072
350,0.0,0.152,0.087,0.0,0.173,0.8394087962508324
351,0.137,0.0,0.124,0.643,0.0,0.5600103443182272
352,0.164,0.0,0.189,0.377,0.148,0.7856410074449541
353,0.124,0.08,0.0,0.0,0.895,0.4996410001294931
354,0.154,0.043,0.044,0.4,0.0,0.6404714877827995
355,0.111,0.0,0.034,0.371,0.493,0.6932920695448211
356,0.594,0.314,0.302,0.824,0.0,0.8187943729673017
357,0.0,0.038,0.048,0.626,-1.171,0.38396429847125857
358,0.0,0.052,0.14100000000000001,0.684,0.0,0.8166545081081913
359,0.0,-0.101,-0.14500000000000002,0.0,0.08,0.9022511901077842
360,0.119,0.095,0.109,0.0,0.515,0.6461989594555275
361,-0.023,-0.067,0.0,0.297,0.0,0.5868915210869681
362,0.0,0.079,0.125,0.0,0.018,0.34751653372854063
363,0.032,0.0,0.337,0.865,0.0,0.7049699243903373
364,-0.3700000000000001,-0.112,0.356,0.418,-0.081,0.8313683550314678
365,0.0,-0.071,-0.02,1.09,0.0,0.7477536655872511
366,0.03,0.083,0.033,0.446,0.0,0.7524516937827641
367,0.0,-0.013,0.0,0.598,0.0,0.5764243839696714
368,0.061,-0.064,0.0,0.113,0.0,0.04912431958266916
369,-0.065,0.071,0.043,0.0,0.562,0.8266815455061418
370,0.14,0.045,0.06,0.703,0.0,0.7198616596590541
371,0.064,-0.031,0.084,0.356,0.0,0.7473319910656504
372,0.175,-0.213,0.097,0.0,0.018,0.6604581151042458
373,0.223,0.071,0.226,0.0,0.105,0.7302519607904927
374,0.0,0.495,-0.01200000000000001,0.756,0.0,0.774949450824897
375,0.068,0.0,0.081,0.754,0.0,0.6680997672557709
376,0.044,0.0,0.035,0.962,0.0,0.904086996083313
377,0.0,0.251,0.0,0.0,0.051,0.15257846586421875
378,0.0,0.0,0.02,1.01,0.0,0.4571666286926037
379,0.565,-0.05399999999999999,-0.059,-0.261,0.0,0.6485928219108976
380,0.189,0.122,-0.099,0.566,0.133,0.8945616658653978
381,-0.022,0.0,0.007,0.574,1.595,0.9460870961649619
382,0.0,0.0,0.318,0.224,0.0,0.48640590798827843
383,0.287,-0.067,0.0,0.515,0.0,0.5376736977310437
384,0.11,0.0,0.116,0.0,0.269,0.7623419070938537
385,0.037,0.005000000000000001,0.067,0.0,0.0,0.8471876545520786
386,0.158,-0.398,0.0,0.462,0.0,0.7541044377714767
387,0.204,-0.036,0.146,1.053,0.0,0.9220450295457404
388,0.0,0.0,0.0,0.0,0.197,0.17225030076482273
389,0.0,-0.306,0.0,0.865,0.0,0.6634925192221351
390,0.0,0.0,0.0,1.111,0.0,0.6611520946672953
391,0.0,0.0,0.0,0.0,0.97,0.3276376916953514
392,0.0,0.116,0.165,0.0,0.192,0.6826347767449737
393,-0.036,-0.011,0.0,0.806,0.0,0.5902063922292945
394,-0.019,0.0,-0.007,0.792,3.119,0.9100493335256578
395,-0.1,0.0,0.075,0.308,0.0,0.44396460985187836
396,0.0,0.0,0.102,0.0,0.25,0.8891062108894066
397,0.139,-0.218,-0.256,0.743,0.0,0.7347131979600163
398,0.134,-0.038,0.07300000000000001,0.0,0.031,0.5799740533910354
399,0.36,0.321,0.184,0.0,0.063,0.8968035735082632
400,0.245,0.077,0.107,0.53,0.0,0.8867292694494342
401,0.0,0.0,0.193,0.72,0.0,0.6426185871471197
402,-0.117,-0.089,0.182,0.0,0.131,0.764828605037592
403,0.0,0.0,0.223,0.52,0.0,0.877116803953413
404,0.0,0.033,0.077,0.365,0.0,0.6850659456507391
405,0.0,0.008,0.0,0.501,4.955,0.6631458539809598
406,0.061,-0.22,0.0,0.0,0.0,0.6571295225792004
407,0.0,0.048,0.034,0.0,0.0,0.3310279668261207
408,0.181,0.22,0.126,0.0,0.146,0.7487533509066786
409,0.0,0.2,0.423,0.612,-0.106,0.7408098372270164
410,0.075,0.0,0.013,0.46,0.0,0.6584557555690413
411,0.0,0.0,0.157,0.0,0.0,0.4553575548738118
412,0.029,0.037,0.0,0.564,0.0,0.6180366111802316
413,0.0,0.0,0.0,0.705,0.0,0.33219192079733584
414,0.0,0.064,0.0,0.0,1.191,0.6116709024853022
415,0.022,0.04400000000000001,0.0,0.425,0.061,0.8617474237937282
416,-0.013999999999999999,0.0,-0.054,0.0,0.857,0.7789247832917234
417,0.0,0.0,0.0,0.0,0.494,0.3149610324796789
418,0.0,0.014,0.154,0.462,0.0,0.8188451273637478
419,0.039,-0.03,0.0,0.823,0.0,0.6265894810019141
420,0.29700000000000004,0.0,0.40900000000000003,0.0,0.013,0.5648863182352591
421,-0.148,0.0,0.0,0.0,0.218,0.34960944794774906
422,0.159,0.126,0.101,0.746,0.0,0.7161354880681139
423,0.15,-0.085,0.023999999999999997,0.939,0.0,0.691345185110332
424,0.164,0.133,0.151,0.0,0.044,0.581283145279456
425,0.0,0.016,0.039,0.0,0.0,0.43639578830835424
426,0.078,0.095,0.131,0.5,0.0,0.883470714195283
427,-0.113,0.11,0.14,0.0,0.0,0.2139317900608314
