,CR,EV,PE,R^2
35,0.0,0.074,0.09799999999999999,0.5703187953483789
36,0.072,0.046,0.048,0.276189524070962
37,-0.06299999999999994,-0.041,0.038000000000000006,0.3222551210259663
38,-0.007,0.251,0.093,0.8297550233287321
39,0.0,-0.022000000000000002,0.087,0.547075815086899
40,0.053000000000000005,0.101,0.061,0.5027329353135126
41,-0.012,0.017,-0.008000000000000002,0.07455389325832695
42,0.184,0.168,-0.081,0.46385274355452755
43,-0.092,0.023,0.263,0.48759897552983456
44,0.08399999999999999,0.011,0.028,0.41655076281596926
45,0.023000000000000007,0.010999999999999996,0.024,0.5088296992049327
46,0.03399999999999999,0.0,0.11100000000000002,0.5863420388088149
47,0.038,-0.066,-0.008,0.5679419263047016
48,0.175,0.183,-0.094,0.6876635353090763
49,-0.017,-0.031,-0.022,0.466435613989132
50,-0.16300000000000003,-0.178,0.348,0.7448329193436614
51,0.9089999999999998,0.278,0.261,0.6579768825094063
52,0.055,0.092,-0.004,0.542548908789573
53,0.26,0.007000000000000006,0.297,0.4742513082712835
54,0.364,0.0,0.255,0.5968080762236854
55,0.169,0.056,0.11299999999999999,0.4611439196484618
56,-0.014,0.05,-0.020000000000000004,0.35740242504903463
57,0.05700000000000001,0.009000000000000008,0.02700000000000001,0.31840485012793907
58,-0.13799999999999998,0.059,0.033,0.7272685860814478
59,0.039,0.0010000000000000009,0.046,0.3803163771836202
60,0.049,-0.025,0.019000000000000003,0.0850803337812529
61,0.048,-0.052,-0.005999999999999998,-0.0009009918105131742
62,-0.5,-0.048,-0.005999999999999998,0.9071133142613506
63,0.05,0.074,0.129,0.33148887820305406
64,-0.058,-0.032,0.085,0.37189655480861605
65,0.141,0.11300000000000002,0.08300000000000002,0.4587084876433115
66,0.14,-0.723,0.205,0.5162582381943888
67,0.09499999999999999,0.373,0.497,0.7872137935668648
68,0.075,0.010999999999999982,0.016999999999999987,0.31905422822712337
69,0.464,0.653,0.462,0.7245522830144604
70,0.089,-0.018,0.038,0.4378485513607884
71,-0.04,0.0009999999999999992,-0.008,0.25938306749166096
72,0.026,-0.08199999999999999,0.246,0.850535023312907
73,-0.02,-0.05399999999999999,0.045,0.45024736790240194
74,-0.781,-0.020000000000000004,0.109,0.6701602435267646
75,-0.438,0.205,0.626,0.68484170599648
76,0.091,0.111,0.175,0.7886009339017935
77,0.018000000000000002,0.09499999999999999,0.043000000000000003,0.4384482733176128
78,0.059,0.048,0.041,0.17176694078890675
79,-0.052000000000000005,0.006999999999999999,0.007,0.4109087059119244
80,0.061,0.0020000000000000018,-0.07,0.36828838314835954
81,0.4129999999999999,-0.016,0.149,0.5548462521237953
82,0.023,0.016,0.003999999999999999,0.43424898777490917
83,0.0,0.047,-0.045,0.1409940822283261
84,0.022,-0.138,0.0,0.018932972102606138
85,-0.016,0.103,0.087,0.3005631904034404
86,0.14300000000000002,-0.195,0.165,0.5769134993888843
87,0.037,-0.012999999999999998,0.0,-0.03953574346279298
88,0.08,-0.047,0.043,0.2488524927314958
89,0.333,0.05,0.124,0.6426709876992813
90,0.061,-0.055,0.057999999999999996,0.40044106882267017
91,-0.037,0.031,0.043,0.3725747687540524
92,0.131,0.037000000000000005,0.025,0.15334993492328974
93,0.0,-0.006000000000000005,0.065,0.3361901955541061
94,0.073,0.042,0.048,0.3041407464751845
95,0.0,0.194,0.07300000000000001,0.3862471207119128
96,0.203,0.27,0.043000000000000003,0.6382430427347567
97,0.0,-0.11300000000000002,0.276,0.5112513824605142
98,0.042,0.499,0.059,0.586142567050529
99,-0.101,0.057,0.067,0.2997737718068051
100,-0.20600000000000002,0.097,0.19,0.5423444268133233
101,-0.020999999999999998,0.0,0.009,0.11710673636999802
102,0.191,0.079,0.095,0.7426872599370627
103,0.071,0.052000000000000005,0.066,0.2750204418003097
104,0.048999999999999995,-0.005999999999999998,0.055,0.16769547495702986
105,-0.049,0.098,0.055999999999999994,0.21691346640274467
106,0.209,0.081,0.08199999999999999,0.3129209307128168
107,-0.244,-0.172,-0.20099999999999996,0.2057866787481527
108,0.478,0.078,0.198,0.4864356252170269
109,-0.227,-0.013,0.119,0.661464261114682
110,0.0,0.043,-0.03,0.17262352488778498
111,-0.018,0.122,0.282,0.4093364360402515
112,0.452,0.00399999999999999,0.048,0.3165933675959747
113,0.0,0.024,0.037,0.28015862281382
114,0.295,0.10300000000000001,0.0,0.43020812738932546
115,0.008000000000000007,0.274,0.15799999999999997,0.5959396163336599
116,0.6819999999999999,0.185,0.176,0.8327045984290801
117,0.282,0.192,0.12,0.7684071562647883
118,-0.023999999999999994,0.10499999999999998,0.502,0.5604353439878411
119,0.33699999999999997,-0.118,0.077,0.5332484197735765
120,0.22,0.05199999999999999,0.077,0.5345664732543818
121,0.291,0.055,0.16499999999999998,0.23630040343880432
122,0.11000000000000001,0.14,0.161,0.5388723756315535
123,-0.051,0.166,-0.03300000000000001,0.49133432881860395
124,0.039999999999999994,0.023,0.0,0.49312688099053026
125,-0.087,0.091,-0.04,0.2144843283556388
126,0.124,0.0,0.04,0.3062440596638447
127,-0.054,-0.029,0.0,-0.022516375252101595
128,0.071,0.0,0.027999999999999997,0.21783930069325397
129,0.032,-0.121,0.224,0.3958337896025721
130,0.045,0.075,0.06,0.5569948229722849
131,0.07300000000000001,0.023000000000000007,0.056999999999999995,0.35062197392772254
132,0.337,-0.098,0.42400000000000004,0.5659435760237166
133,-0.04,0.0,0.048,0.31748473156829526
134,-0.7859999999999999,0.112,-0.03,0.6520297431484501
135,0.304,0.231,-0.151,0.45071090485073484
136,0.6359999999999999,0.02,0.09,0.6345966408965784
137,0.246,0.027,0.191,0.8758118258757759
138,-0.067,0.04,0.009000000000000008,0.5772379892164705
139,0.08299999999999999,-0.076,0.128,0.4138692438760896
140,0.023,0.054,0.054,0.3353241413988052
141,-0.023999999999999994,-0.145,0.056999999999999995,0.5892091683050422
142,0.196,0.07300000000000001,-0.0040000000000000036,0.2876461786121589
143,0.149,0.101,0.213,0.7530747175423911
144,0.224,0.031,0.10100000000000003,0.49796036652643083
145,0.024,0.053,0.013999999999999999,0.14771149573507047
146,0.123,0.067,0.216,0.7034229080704315
147,0.279,0.0,-0.082,0.26622406828118417
148,0.024999999999999998,0.061,-0.028999999999999998,0.357628525378182
149,0.015,0.224,0.104,0.8150259114078805
150,0.264,0.056999999999999995,0.5860000000000001,0.40754806193535253
151,-0.545,0.149,0.351,0.7845422946216603
152,0.0,0.059,0.048,0.5577595987492021
153,-0.099,-0.09100000000000003,-0.024999999999999994,0.37566243009778033
154,0.14400000000000002,0.044,-0.011999999999999997,0.4158369427431934
155,0.202,-0.131,0.045000000000000005,0.514092371694524
156,0.278,-0.264,0.268,0.6266453131039876
157,0.03199999999999999,0.018999999999999996,0.112,0.11624816006265914
158,0.236,-0.088,0.049999999999999996,0.39085691639188236
159,0.116,0.106,0.10499999999999998,0.4737980515812742
160,0.10999999999999999,0.02,0.0,0.3473952736589996
161,-0.008,0.018000000000000002,0.02,0.10968567392620343
162,0.0,0.174,0.038,0.5982667842634173
163,-1.409,0.107,0.09099999999999998,0.5842519445640936
164,0.0,-0.369,0.5469999999999999,0.6604796045370158
165,0.042,0.189,0.077,0.7288510612077201
166,0.753,0.072,0.236,0.749053512287106
167,0.0,-0.207,0.259,0.7257475170289382
168,-1.602,-0.3,0.5,0.428659719273233
169,-0.073,-0.07400000000000001,-0.038000000000000006,0.3233700270188651
170,0.0,0.0,0.005,0.4192401409548644
171,-0.113,-0.023999999999999997,0.014000000000000002,0.2459902732118514
172,0.044,-0.012,-0.015,0.3350143601457318
173,-0.11900000000000001,0.171,0.024,0.3705943085993607
174,0.02199999999999991,0.571,-0.11300000000000002,0.2621894043865194
175,-0.041,0.0,0.113,0.4932789702588406
176,0.006999999999999999,0.0,0.014000000000000002,0.20636877965019917
177,-0.036000000000000004,0.327,-0.075,0.26083593837257113
178,0.044,-0.037,0.05,0.65520355802069
179,-0.015,-0.021,0.034,0.35741995892511935
180,0.186,-0.008,0.024,0.6518227077297731
181,-0.026,-0.016,0.052,0.4025062149799048
182,0.02800000000000001,-0.158,-0.225,0.034615720936888916
183,-0.126,0.12399999999999999,-0.0020000000000000018,0.33678592444251243
184,-0.012999999999999998,0.0010000000000000009,0.054000000000000006,0.3144409928927733
185,0.062,0.33499999999999996,0.258,0.6156213995567796
186,0.029,-0.014000000000000002,0.005,0.4573547878739088
187,0.0,-0.305,0.375,0.450236002985528
188,-0.22,0.09,0.039,0.3937270362371885
189,0.22999999999999998,0.07,0.061,0.5643504939218251
190,0.149,0.043,0.062,0.8217886590410444
191,0.025,0.002999999999999999,0.027999999999999997,0.2790120309857754
192,0.081,0.022,0.038,0.5802363479432979
193,-0.342,0.0,0.037,0.045049617723505464
194,0.182,-0.024,-0.047,0.31440402169063897
195,-0.272,-0.016,-0.01,0.2893300487239999
196,0.327,0.1,0.318,0.5256270280937922
197,0.036000000000000004,0.01,0.082,0.21637806633285417
198,-0.0050000000000000044,0.024,0.003,0.7047015121485087
199,0.007999999999999998,0.038,-0.033,0.3244286490071131
200,0.028,-0.052,-0.016,0.010569440827400856
201,0.116,0.0,0.127,0.6477095508913756
202,0.423,0.417,0.28,0.33700676387862416
203,0.564,-0.05600000000000001,0.084,0.42696842115511635
204,-0.034,-0.032,-0.037000000000000005,0.6558497623034367
205,-0.022,-0.012,0.021,-0.12554983350979665
206,0.093,-0.073,0.16899999999999998,0.33669696810897676
207,-0.059,0.051,0.127,0.678772813107426
208,0.119,-0.015,-0.033,0.47516987750028583
209,-0.047,0.027,0.019,0.46402218620577507
210,0.027,0.05,0.009000000000000001,0.27224539424794736
211,0.025999999999999995,-0.043,0.28300000000000003,0.6619199653479404
212,-0.013000000000000012,-0.054,-0.147,0.33848707927306565
213,0.064,0.011,-0.016,0.33879002534639346
214,-0.049,-0.021,0.0,0.25169047559607416
215,-0.019000000000000003,-0.011,0.038,-0.18502579050696966
216,0.127,0.037000000000000005,0.088,0.3527177600682644
217,-0.123,0.02,0.028,0.2439922404176118
218,0.06,-0.039,0.306,0.6801245897989947
